id;type;lots;period;operation_type;operation_count;first_operation_dttm;last_operation_dttm;detection_dttm;last_price;volume_by_hour
1;SIMPLE;indeed;16151;BUY;12634;2024-02-25T01:54:25;2024-02-24T22:38:48;2024-02-25T09:49:41;26273.97;1355
2;INSERT;now;17341;SELL;11546;2024-02-24T13:59:29;2024-02-24T18:52:47;2024-02-24T10:50:22;31855.29;1072
3;LOOP;vibrant ick;18868;SELL;29267;2024-02-25T02:44:55;2024-02-24T18:26:14;2024-02-24T13:24:44;19888.77;20432
4;INSERT;irritate;16725;SELL;9963;2024-02-25T05:37:37;2024-02-25T08:39:17;2024-02-25T03:54:54;20081.39;7295
5;LOOP;blah;22862;BUY;10611;2024-02-24T17:30:23;2024-02-24T15:40:23;2024-02-24T19:42:02;17407.03;8107
6;LOOP;warning ew ah;25245;BUY;10450;2024-02-25T04:51:22;2024-02-24T14:32:56;2024-02-25T07:08:48;19467;3525
7;LOOP;cheery onto;28295;SELL;12510;2024-02-24T22:03:16;2024-02-24T23:34:02;2024-02-24T22:07:58;6529.63;15548
8;LOOP;relegate continually;6424;SELL;18149;2024-02-25T08:56:39;2024-02-24T16:28:18;2024-02-24T20:07:24;20597.51;5970
9;SIMPLE;lick beside;26511;BUY;31662;2024-02-24T12:05:14;2024-02-24T20:40:57;2024-02-24T17:16:43;18359.54;9882
10;LOOP;gruesome the and;25928;BUY;12758;2024-02-24T22:09:46;2024-02-24T23:04:10;2024-02-24T12:15:39;26819.27;814
